CLAVE,NOMBRE,3,4,5,6,7,8,9,10,11,14,17,18,19,20,21,22,23,24,26,28,29,30,31
V02158,LODICAR 5 MG FRASCO C/30 TABS,88.11,87.91,63.44,48.46,58.75,58.75,57.27,57.27,52.87,61.68,63.44,52.87,45.82,50.22,70.49,61.68,54.63,66.09,39.65,57.27,52.87,48.46,44.06
V02159,LODICAR 5 MG FRASCO C/60 TABS,157.70,157.50,113.55,86.74,105.14,105.14,102.51,102.51,94.62,110.39,113.55,94.62,82.01,89.89,126.16,110.39,97.78,118.28,70.97,102.51,94.62,86.74,78.85
V02160,ACORTIZ 25 MG FRASCO C/100 TABS,76.44,76.24,55.04,42.04,50.96,50.96,49.69,49.69,45.86,53.51,55.04,45.86,39.75,43.57,61.15,53.51,47.39,57.33,34.40,49.69,45.86,42.04,38.22
V02161,ACORTIZ 25 MG FRASCO C/20 TABS,57.33,57.13,41.28,31.53,38.22,38.22,37.26,37.26,34.40,40.13,41.28,34.40,29.81,32.68,45.86,40.13,35.54,43.00,25.80,37.26,34.40,31.53,28.67
V02164,CIZOLE 20 MG FRASCO C/28 CAPS,39.60,39.40,28.51,21.78,26.40,26.40,25.74,25.74,23.76,27.72,28.51,23.76,20.59,22.57,31.68,27.72,24.55,29.70,17.82,25.74,23.76,21.78,19.80
V02165,ACORTIZ 50 MG FRASCO C/100 TABS,114.66,114.46,82.56,63.06,76.44,76.44,74.53,74.53,68.80,80.26,82.56,68.80,59.62,65.36,91.73,80.26,71.09,86.00,51.60,74.53,68.80,63.06,57.33
V02175,CIPROTON 40 MG FRASCO C/30 TABS,218.00,217.80,156.96,119.90,145.34,145.34,141.70,141.70,130.80,152.60,156.96,130.80,113.36,124.26,174.40,152.60,135.16,163.50,98.10,141.70,130.80,119.90,109.00
V02176,CIZOLE 20 MG FRASCO C/60 CAPS,74.53,74.33,53.66,40.99,49.69,49.69,48.44,48.44,44.72,52.17,53.66,44.72,38.76,42.48,59.62,52.17,46.21,55.90,33.54,48.44,44.72,40.99,37.27
V02177,CIZOLE C/14+14  20 MG CAJA C/2 FCO,68.00,67.80,48.96,37.40,45.34,45.34,44.20,44.20,40.80,47.60,48.96,40.80,35.36,38.76,54.40,47.60,42.16,51.00,30.60,44.20,40.80,37.40,34.00
V02179,LAWAZIN 5 MG FRASCO C/30 UNID,33.00,32.80,23.76,18.15,22.00,22.00,21.45,21.45,19.80,23.10,23.76,19.80,17.16,18.81,26.40,23.10,20.46,24.75,14.85,21.45,19.80,18.15,16.50
V02181,CIZOLE C/60+60 20 MG CAJA C/2 FCO,128.99,128.79,92.88,70.95,86.00,86.00,83.85,83.85,77.40,90.30,92.88,77.40,67.08,73.53,103.19,90.30,79.98,96.75,58.05,83.85,77.40,70.95,64.50
V02182,CIZOLE 20 MG FRASCO C/120 CAPS,114.66,114.46,82.56,63.06,76.44,76.44,74.53,74.53,68.80,80.26,82.56,68.80,59.62,65.36,91.73,80.26,71.09,86.00,51.60,74.53,68.80,63.06,57.33
V02185,CIGREF 1 MG FRASCO C/25 TABS,143.33,143.13,103.20,78.83,95.56,95.56,93.17,93.17,86.00,100.33,103.20,86.00,74.53,81.70,114.67,100.33,88.87,107.50,64.50,93.17,86.00,78.83,71.67
V02190,CITRA-50  50 MG FRASCO C/50 TABS,130.00,129.80,93.60,71.50,86.67,86.67,84.50,84.50,78.00,91.00,93.60,78.00,67.60,74.10,104.00,91.00,80.60,97.50,58.50,84.50,78.00,71.50,65.00
V02191,ZINOTRAM 500 MG FRASCO/3 TABS,55.33,55.13,39.84,30.43,36.89,36.89,35.97,35.97,33.20,38.73,39.84,33.20,28.77,31.54,44.27,38.73,34.31,41.50,24.90,35.97,33.20,30.43,27.67
V02192,ZINOTRAM 500 MG FRASCO/6 TABS,98.33,98.13,70.80,54.08,65.56,65.56,63.92,63.92,59.00,68.83,70.80,59.00,51.13,56.05,78.67,68.83,60.97,73.75,44.25,63.92,59.00,54.08,49.17
V02193,ZINOTRAM 500 MG FRASCO/9 TABS,132.00,131.80,95.04,72.60,88.00,88.00,85.80,85.80,79.20,92.40,95.04,79.20,68.64,75.24,105.60,92.40,81.84,99.00,59.40,85.80,79.20,72.60,66.00
V02194,PRIMAZEN 20 MG FRASCO C/30 TABS,80.00,79.80,57.60,44.00,53.34,53.34,52.00,52.00,48.00,56.00,57.60,48.00,41.60,45.60,64.00,56.00,49.60,60.00,36.00,52.00,48.00,44.00,40.00
V02195,FLUMEDIL 5 MG FRASCO C/30 TABS,44.00,43.80,31.68,24.20,29.33,29.33,28.60,28.60,26.40,30.80,31.68,26.40,22.88,25.08,35.20,30.80,27.28,33.00,19.80,28.60,26.40,24.20,22.00
V02206,CAPILLACEOUS 1 MG FRASCO C/100 TABS,376.67,376.47,271.20,207.17,251.12,251.12,244.83,244.83,226.00,263.67,271.20,226.00,195.87,214.70,301.33,263.67,233.53,282.50,169.50,244.83,226.00,207.17,188.33
V02220,FIXDATER 5 MG FRASCO C/100 MG,274.00,273.80,197.28,150.70,182.68,182.68,178.10,178.10,164.40,191.80,197.28,164.40,142.48,156.18,219.20,191.80,169.88,205.50,123.30,178.10,164.40,150.70,137.00
V02222,VIZIMOX 500 MG FRASCO C/30 CAPS,112.14,111.94,80.74,61.68,74.76,74.76,72.89,72.89,67.28,78.50,80.74,67.28,58.31,63.92,89.71,78.50,69.53,84.11,50.46,72.89,67.28,61.68,56.07
V02229,CITRA-50 100 MG FRASCO C/60+60 CAJA C/2 FRASCOS,434.32,434.12,312.71,238.87,289.56,289.56,282.31,282.31,260.59,304.02,312.71,260.59,225.84,247.56,347.45,304.02,269.28,325.74,195.44,282.31,260.59,238.87,217.16
V02233,VERIMUT 100 MG FRASCO C/42 TABS,318.33,318.13,229.20,175.08,212.23,212.23,206.92,206.92,191.00,222.83,229.20,191.00,165.53,181.45,254.67,222.83,197.37,238.75,143.25,206.92,191.00,175.08,159.17
V02236,CITRA-50 100 MG FRASCO C/60 TABLETAS,220.00,219.80,158.40,121.00,146.67,146.67,143.00,143.00,132.00,154.00,158.40,132.00,114.40,125.40,176.00,154.00,136.40,165.00,99.00,143.00,132.00,121.00,110.00
V02246,CARBAMAZEPINA 400 MG FRASCO C/20 TABS,98.23,98.03,70.73,54.03,65.49,65.49,63.85,63.85,58.94,68.76,70.73,58.94,51.08,55.99,78.58,68.76,60.90,73.67,44.20,63.85,58.94,54.03,49.12
